ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,108997.31646336,-49275.92376308358,31947.526979176237,108997.31646336,108997.31646336,-118539.85698941445,-118539.85698941445,-118539.85698941445,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322284332,-123371.77322284332,-123371.77322284332,0.0,0.0,0.0,-9542.54052605445
2002-01-01,119093.2946500635,-48023.96798661075,36565.35005689899,119093.2946500635,119093.2946500635,-124690.94274403865,-124690.94274403865,-124690.94274403865,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897746752,-129522.85897746752,-129522.85897746752,0.0,0.0,0.0,-5597.648093975149
2003-01-01,129189.27237711386,-42214.49189269312,43179.76598592748,129189.27237711386,129189.27237711386,-128483.66411376752,-128483.66411376752,-128483.66411376752,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034719637,-133315.58034719637,-133315.58034719637,0.0,0.0,0.0,705.6082633463375
2004-01-01,139285.24889754588,-31044.97698101711,50761.765843941306,139285.24889754588,139285.24889754588,-129913.60938644539,-129913.60938644539,-129913.60938644539,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561987427,-134745.52561987427,-134745.52561987427,0.0,0.0,0.0,9371.639511100497
2005-01-01,149411.4240145858,-9604.655853106997,75117.71494079134,149411.4240145858,149411.4240145858,-118539.85698943488,-118539.85698943488,-118539.85698943488,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322286375,-123371.77322286375,-123371.77322286375,0.0,0.0,0.0,30871.567025150915
2006-01-01,159519.19420299397,-4381.415911915474,75934.22301476971,159519.19420299397,159519.19420299397,-124690.94274401807,-124690.94274401807,-124690.94274401807,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897744694,-129522.85897744694,-129522.85897744694,0.0,0.0,0.0,34828.251458975894
2007-01-01,169627.1281391711,1153.0726476850846,79894.1644358091,169627.1281391711,169627.1281391711,-128483.66411375171,-128483.66411375171,-128483.66411375171,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034718057,-133315.58034718057,-133315.58034718057,0.0,0.0,0.0,41143.464025419395
2008-01-01,179744.33095703914,8889.316861511443,90261.79295707737,179744.33095703914,179744.33095703914,-129913.60938643545,-129913.60938643545,-129913.60938643545,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561986432,-134745.52561986432,-134745.52561986432,0.0,0.0,0.0,49830.721570603695
2009-01-01,193547.83416273585,36875.034115079136,115417.51373056014,193547.83416273585,193547.83416273585,-118539.85698938447,-118539.85698938447,-118539.85698938447,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322281334,-123371.77322281334,-123371.77322281334,0.0,0.0,0.0,75007.97717335138
2010-01-01,207326.8080594551,42922.24293491037,122011.69355688123,207326.8080594551,207326.8080594551,-124690.94274402734,-124690.94274402734,-124690.94274402734,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897745621,-129522.85897745621,-129522.85897745621,0.0,0.0,0.0,82635.86531542776
2011-01-01,221113.31693251434,49444.35434429879,133091.7075756859,221113.31693251434,221113.31693251434,-128483.66411376152,-128483.66411376152,-128483.66411376152,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034719038,-133315.58034719038,-133315.58034719038,0.0,0.0,0.0,92629.65281875282
