ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,108997.31646336,-51193.80815451431,32775.19782127145,108997.31646336,108997.31646336,-118539.85698941445,-118539.85698941445,-118539.85698941445,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322284332,-123371.77322284332,-123371.77322284332,0.0,0.0,0.0,-9542.54052605445
2002-01-01,119093.2946500635,-46660.90318257297,34305.862781130745,119093.2946500635,119093.2946500635,-124690.94274403865,-124690.94274403865,-124690.94274403865,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897746752,-129522.85897746752,-129522.85897746752,0.0,0.0,0.0,-5597.648093975149
2003-01-01,129189.27237711386,-40188.7488533595,40303.87919502963,129189.27237711386,129189.27237711386,-128483.66411376752,-128483.66411376752,-128483.66411376752,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034719637,-133315.58034719637,-133315.58034719637,0.0,0.0,0.0,705.6082633463375
2004-01-01,139285.24889754588,-34799.362033917096,51313.01916922634,139285.24889754588,139285.24889754588,-129913.60938644539,-129913.60938644539,-129913.60938644539,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561987427,-134745.52561987427,-134745.52561987427,0.0,0.0,0.0,9371.639511100497
2005-01-01,149411.4240145858,-6967.7647964819025,74898.21695503306,149411.4240145858,149411.4240145858,-118539.85698943488,-118539.85698943488,-118539.85698943488,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322286375,-123371.77322286375,-123371.77322286375,0.0,0.0,0.0,30871.567025150915
2006-01-01,159519.19420299397,-5147.332950760679,76055.75402743276,159519.19420299397,159519.19420299397,-124690.94274401807,-124690.94274401807,-124690.94274401807,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897744694,-129522.85897744694,-129522.85897744694,0.0,0.0,0.0,34828.251458975894
2007-01-01,169627.1281391711,2921.288977002592,84297.67959187315,169627.1281391711,169627.1281391711,-128483.66411375171,-128483.66411375171,-128483.66411375171,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034718057,-133315.58034718057,-133315.58034718057,0.0,0.0,0.0,41143.464025419395
2008-01-01,179744.33095703914,10130.626376492432,90617.15669060335,179744.33095703914,179744.33095703914,-129913.60938643545,-129913.60938643545,-129913.60938643545,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561986432,-134745.52561986432,-134745.52561986432,0.0,0.0,0.0,49830.721570603695
2009-01-01,193547.83416273585,34005.84222698039,117146.4533515526,193547.83416273585,193547.83416273585,-118539.85698938447,-118539.85698938447,-118539.85698938447,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322281334,-123371.77322281334,-123371.77322281334,0.0,0.0,0.0,75007.97717335138
2010-01-01,207326.8080594551,44173.91580825596,123330.3601453831,207326.8080594551,207326.8080594551,-124690.94274402734,-124690.94274402734,-124690.94274402734,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897745621,-129522.85897745621,-129522.85897745621,0.0,0.0,0.0,82635.86531542776
2011-01-01,221113.31693251434,50937.170737674875,133365.31806979747,221113.31693251434,221113.31693251434,-128483.66411376152,-128483.66411376152,-128483.66411376152,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034719038,-133315.58034719038,-133315.58034719038,0.0,0.0,0.0,92629.65281875282
2012-01-01,234899.8263563145,65641.17868562498,144484.8743644216,234899.8263563145,234899.8263563145,-129913.60938644063,-129913.60938644063,-129913.60938644063,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.5256198695,-134745.5256198695,-134745.5256198695,0.0,0.0,0.0,104986.21696987387
2013-01-01,248732.61834449955,88171.50463304456,170268.26571892612,248732.61834449955,248732.61834449955,-118539.85698943706,-118539.85698943706,-118539.85698943706,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322286593,-123371.77322286593,-123371.77322286593,0.0,0.0,0.0,130192.7613550625
2014-01-01,262544.48398911254,97395.89981316493,178526.27348822812,262544.48398911254,262544.48398911254,-124690.94274406004,-124690.94274406004,-124690.94274406004,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897748891,-129522.85897748891,-129522.85897748891,0.0,0.0,0.0,137853.5412450525
2015-01-01,276364.46755909163,108903.30454111708,189414.8158846445,276364.46755909163,276364.46755909163,-128483.66411374572,-128483.66411374572,-128483.66411374572,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034717457,-133315.58034717457,-133315.58034717457,0.0,0.0,0.0,147880.8034453459
2016-01-01,290184.4511290708,120208.34726511489,198095.92499109308,290184.4511290708,290184.4511290708,-129913.60938644675,-129913.60938644675,-129913.60938644675,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561987564,-134745.52561987564,-134745.52561987564,0.0,0.0,0.0,160270.841742624
2017-01-01,304042.29766773485,145165.19443599717,226008.65059860263,304042.29766773485,304042.29766773485,-118539.85698938584,-118539.85698938584,-118539.85698938584,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.7732228147,-123371.7732228147,-123371.7732228147,0.0,0.0,0.0,185502.440678349
2018-01-01,317862.28123771393,155153.55526506083,230845.22129228374,317862.28123771393,317862.28123771393,-124690.94274402435,-124690.94274402435,-124690.94274402435,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897745322,-129522.85897745322,-129522.85897745322,0.0,0.0,0.0,193171.3384936896
2018-12-31,331644.40183900826,171444.37612618276,250291.1316172109,331469.9638323338,331858.49954273505,-120044.42662501773,-120044.42662501773,-120044.42662501773,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.3428584466,-124876.3428584466,-124876.3428584466,0.0,0.0,0.0,211599.97521399055
