ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,108997.31646336,-22598.420143306266,60734.3643791027,108997.31646336,108997.31646336,-89242.30198933916,-89242.30198933916,-89242.30198933916,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-123371.77322284332,-123371.77322284332,-123371.77322284332,0.0,0.0,0.0,19755.014474020834
2002-01-01,119093.2946500635,-16797.143844645117,63354.558183905974,119093.2946500635,119093.2946500635,-95393.38774396337,-95393.38774396337,-95393.38774396337,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-129522.85897746752,-129522.85897746752,-129522.85897746752,0.0,0.0,0.0,23699.906906100136
2003-01-01,129189.27237711386,-14912.134337902244,74430.84846390625,129189.27237711386,129189.27237711386,-99186.10911369223,-99186.10911369223,-99186.10911369223,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-133315.58034719637,-133315.58034719637,-133315.58034719637,0.0,0.0,0.0,30003.163263421622
2004-01-01,139285.24889754588,-2003.7501290211796,81073.68613417422,139285.24889754588,139285.24889754588,-100616.05438637012,-100616.05438637012,-100616.05438637012,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-134745.52561987427,-134745.52561987427,-134745.52561987427,0.0,0.0,0.0,38669.19451117577
2005-01-01,149411.4240145858,16064.182694549752,101379.89388243122,149411.4240145858,149411.4240145858,-89242.30198935959,-89242.30198935959,-89242.30198935959,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-123371.77322286375,-123371.77322286375,-123371.77322286375,0.0,0.0,0.0,60169.1220252262
2006-01-01,159519.19420299397,20505.33957545152,107592.10812850762,159519.19420299397,159519.19420299397,-95393.38774394279,-95393.38774394279,-95393.38774394279,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-129522.85897744694,-129522.85897744694,-129522.85897744694,0.0,0.0,0.0,64125.80645905118
2007-01-01,169627.1281391711,29742.905047058506,111290.50116447685,169627.1281391711,169627.1281391711,-99186.10911367643,-99186.10911367643,-99186.10911367643,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-133315.58034718057,-133315.58034718057,-133315.58034718057,0.0,0.0,0.0,70441.01902549468
2008-01-01,179744.33095703914,41986.12110162156,119629.41021287422,179744.33095703914,179744.33095703914,-100616.05438636016,-100616.05438636016,-100616.05438636016,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-134745.52561986432,-134745.52561986432,-134745.52561986432,0.0,0.0,0.0,79128.27657067898
2009-01-01,193547.83416273585,64973.906271157284,145688.90119413447,193547.83416273585,193547.83416273585,-89242.30198930918,-89242.30198930918,-89242.30198930918,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-123371.77322281334,-123371.77322281334,-123371.77322281334,0.0,0.0,0.0,104305.53217342666
2010-01-01,207326.8080594551,71866.26514635372,149300.905510099,207326.8080594551,207326.8080594551,-95393.38774395206,-95393.38774395206,-95393.38774395206,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-129522.85897745621,-129522.85897745621,-129522.85897745621,0.0,0.0,0.0,111933.42031550304
