ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,108997.31646336,-67738.93075517901,16371.007860866675,108997.31646336,108997.31646336,-135616.27962272585,-135616.27962272585,-135616.27962272585,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-123371.77322284332,-123371.77322284332,-123371.77322284332,0.0,0.0,0.0,-26618.963159365856
2002-01-01,119093.2946500635,-62803.58226820586,16330.564588309457,119093.2946500635,119093.2946500635,-141767.36537735004,-141767.36537735004,-141767.36537735004,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-129522.85897746752,-129522.85897746752,-129522.85897746752,0.0,0.0,0.0,-22674.07072728654
2003-01-01,129189.27237711386,-57607.49111720707,24411.105990829103,129189.27237711386,129189.27237711386,-145560.08674707892,-145560.08674707892,-145560.08674707892,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-133315.58034719637,-133315.58034719637,-133315.58034719637,0.0,0.0,0.0,-16370.814369965068
2004-01-01,139285.24889754588,-49357.31544567039,32460.66356483274,139285.24889754588,139285.24889754588,-146990.0320197568,-146990.0320197568,-146990.0320197568,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-134745.52561987427,-134745.52561987427,-134745.52561987427,0.0,0.0,0.0,-7704.783122210909
2005-01-01,149411.4240145858,-27571.293972832696,53859.83036151758,149411.4240145858,149411.4240145858,-135616.27962274628,-135616.27962274628,-135616.27962274628,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-123371.77322286375,-123371.77322286375,-123371.77322286375,0.0,0.0,0.0,13795.144391839509
2006-01-01,159519.19420299397,-24295.4892023865,58180.32206720187,159519.19420299397,159519.19420299397,-141767.36537732946,-141767.36537732946,-141767.36537732946,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-129522.85897744694,-129522.85897744694,-129522.85897744694,0.0,0.0,0.0,17751.828825664503
2007-01-01,169627.1281391711,-15238.707514471138,65655.51925974352,169627.1281391711,169627.1281391711,-145560.08674706312,-145560.08674706312,-145560.08674706312,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-133315.58034718057,-133315.58034718057,-133315.58034718057,0.0,0.0,0.0,24067.04139210799
2008-01-01,179744.33095703914,-7451.849582775323,75247.75345736835,179744.33095703914,179744.33095703914,-146990.03201974684,-146990.03201974684,-146990.03201974684,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-134745.52561986432,-134745.52561986432,-134745.52561986432,0.0,0.0,0.0,32754.298937292304
2009-01-01,193547.83416273585,15584.22845195392,98481.3153961461,193547.83416273585,193547.83416273585,-135616.27962269587,-135616.27962269587,-135616.27962269587,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-123371.77322281334,-123371.77322281334,-123371.77322281334,0.0,0.0,0.0,57931.55454003997
2010-01-01,207326.8080594551,23797.45962282441,106908.78907437556,207326.8080594551,207326.8080594551,-141767.36537733875,-141767.36537733875,-141767.36537733875,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-129522.85897745621,-129522.85897745621,-129522.85897745621,0.0,0.0,0.0,65559.44268211635
2011-01-01,221113.31693251434,34810.31514151398,116639.46314054071,221113.31693251434,221113.31693251434,-145560.08674707293,-145560.08674707293,-145560.08674707293,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-133315.58034719038,-133315.58034719038,-133315.58034719038,0.0,0.0,0.0,75553.23018544141
2012-01-01,234899.8263563145,48449.46772615544,129548.27577115392,234899.8263563145,234899.8263563145,-146990.03201975202,-146990.03201975202,-146990.03201975202,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-134745.5256198695,-134745.5256198695,-134745.5256198695,0.0,0.0,0.0,87909.79433656248
2013-01-01,248732.61834449955,70278.01496878082,152852.14034068226,248732.61834449955,248732.61834449955,-135616.27962274847,-135616.27962274847,-135616.27962274847,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-123371.77322286593,-123371.77322286593,-123371.77322286593,0.0,0.0,0.0,113116.33872175109
2014-01-01,262544.48398911254,81719.06891477728,160174.76878988885,262544.48398911254,262544.48398911254,-141767.36537737143,-141767.36537737143,-141767.36537737143,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-129522.85897748891,-129522.85897748891,-129522.85897748891,0.0,0.0,0.0,120777.11861174111
2015-01-01,276364.46755909163,91581.58663602517,173064.24333882052,276364.46755909163,276364.46755909163,-145560.08674705712,-145560.08674705712,-145560.08674705712,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-133315.58034717457,-133315.58034717457,-133315.58034717457,0.0,0.0,0.0,130804.3808120345
2016-01-01,290184.4511290708,102054.83570162578,184039.09903562206,290184.4511290708,290184.4511290708,-146990.03201975816,-146990.03201975816,-146990.03201975816,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-134745.52561987564,-134745.52561987564,-134745.52561987564,0.0,0.0,0.0,143194.4191093126
2017-01-01,304042.29766773485,124925.37683104108,207674.80104537963,304042.29766773485,304042.29766773485,-135616.27962269724,-135616.27962269724,-135616.27962269724,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-123371.7732228147,-123371.7732228147,-123371.7732228147,0.0,0.0,0.0,168426.0180450376
2018-01-01,317862.28123771393,135942.81217973825,214423.1309174629,317862.28123771393,317862.28123771393,-141767.36537733575,-141767.36537733575,-141767.36537733575,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-129522.85897745322,-129522.85897745322,-129522.85897745322,0.0,0.0,0.0,176094.91586037818
2018-12-31,331644.40183900826,151952.5676747647,234677.47434662012,331413.29078191484,331820.16200574394,-137120.84925832914,-137120.84925832914,-137120.84925832914,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-124876.3428584466,-124876.3428584466,-124876.3428584466,0.0,0.0,0.0,194523.55258067913
2019-12-31,345464.3854089874,174025.57968451004,255701.14167723962,344729.32363107486,346034.8787014533,-129137.87593140725,-129137.87593140725,-129137.87593140725,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-116893.36953152472,-116893.36953152472,-116893.36953152472,0.0,0.0,0.0,216326.50947758014
2020-12-31,359322.2319476514,172352.5237230412,253529.98457205103,357938.5348410402,360492.8150397513,-146056.90723715935,-146056.90723715935,-146056.90723715935,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-133812.4008372768,-133812.4008372768,-133812.4008372768,0.0,0.0,0.0,213265.32471049207
2021-12-31,373142.21551763057,188009.57260888352,269867.8907279077,371008.90975333314,374988.98004581593,-142764.53548434697,-142764.53548434697,-142764.53548434697,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-130520.02908446443,-130520.02908446443,-130520.02908446443,0.0,0.0,0.0,230377.6800332836
2022-12-31,386962.19908760965,210741.5998983417,289723.26884765015,383987.15896948084,389756.7697110531,-137120.84925832946,-137120.84925832946,-137120.84925832946,0.0,0.0,0.0,-12244.506399882532,-12244.506399882532,-12244.506399882532,-1679.0751589826123,-1679.0751589826123,-1679.0751589826123,-10565.43124089992,-10565.43124089992,-10565.43124089992,-124876.34285844694,-124876.34285844694,-124876.34285844694,0.0,0.0,0.0,249841.3498292802
